product_category,total_items_sold,unique_orders,unique_sellers,unique_products,total_sales_value,total_freight_value,avg_item_price,avg_review_score,review_count,late_delivery_rate,review_risk_rate,avg_delivery_delay_days,avg_actual_delivery_days,has_reviews,has_delivery_data
dvds_blu_ray,64,59,10,48,5999.39,1288.74,93.74046875,4.180327868852459,61,0.06557377049180328,0.14754098360655737,-13.360655737704919,12.508196721311476,True,True
electronics,2767,2550,149,517,160246.74,46578.32,57.913530899891576,4.067158671586716,2710,0.07564575645756458,0.14833948339483394,-11.154612546125461,12.407011070110702,True,True
fashio_female_clothing,48,39,11,27,2803.64,621.75,58.409166666666664,3.933333333333333,45,0.06666666666666667,0.13333333333333333,-11.28888888888889,11.488888888888889,True,True
fashion_bags_accessories,2031,1864,99,849,152823.54,31450.0,75.24546528803546,4.191295546558704,1976,0.05263157894736842,0.11386639676113361,-13.352226720647772,10.589574898785425,True,True
fashion_childrens_clothes,8,8,4,5,569.85,95.51,71.23125,5.0,7,0.0,0.0,-15.714285714285714,8.142857142857142,True,True
fashion_male_clothing,132,112,13,95,10797.82,2152.41,81.80166666666666,3.7580645161290325,124,0.04838709677419355,0.25,-12.862903225806452,12.314516129032258,True,True
fashion_shoes,262,240,15,173,23562.77,4918.87,89.93423664122137,4.280632411067193,253,0.039525691699604744,0.11067193675889328,-14.865612648221344,14.932806324110672,True,True
fashion_sport,30,27,10,19,2119.51,578.13,70.65033333333334,4.344827586206897,29,0.034482758620689655,0.06896551724137931,-12.379310344827585,11.379310344827585,True,True
fashion_underwear_beach,131,121,9,53,9541.55,1916.19,72.83625954198473,4.0476190476190474,126,0.09523809523809523,0.15873015873015872,-10.952380952380953,13.222222222222221,True,True
fixed_telephony,264,217,49,116,59583.0,4637.81,225.6931818181818,3.757936507936508,252,0.03571428571428571,0.23015873015873015,-14.698412698412698,12.123015873015873,True,True
flowers,33,29,3,14,1110.04,488.87,33.63757575757575,4.419354838709677,31,0.03225806451612903,0.06451612903225806,-12.483870967741936,10.419354838709678,True,True
food,510,450,58,82,29393.41,7271.03,57.63413725490196,4.262833675564682,487,0.06981519507186858,0.11704312114989733,-9.86447638603696,9.114989733059549,True,True
food_drink,278,227,34,104,15179.48,4507.99,54.602446043165465,4.364312267657993,269,0.040892193308550186,0.06691449814126393,-11.613382899628252,10.449814126394052,True,True
furniture_bedroom,109,95,23,45,20028.78,4632.23,183.75027522935778,4.252427184466019,103,0.06796116504854369,0.1262135922330097,-13.514563106796116,12.757281553398059,True,True
furniture_decor,8334,6449,370,2657,729762.49,172749.3,87.56449364050876,3.9512376237623763,8080,0.06918316831683169,0.18155940594059405,-12.457920792079207,12.338366336633664,True,True
furniture_living_room,503,422,56,156,68916.56,17968.170000000002,137.0110536779324,3.9346938775510205,490,0.0673469387755102,0.17142857142857143,-11.893877551020408,13.220408163265306,True,True
furniture_mattress_and_upholstery,38,38,5,10,4368.08,1630.46,114.94947368421053,3.891891891891892,37,0.13513513513513514,0.1891891891891892,-7.162162162162162,13.891891891891891,True,True
garden_tools,4347,3518,237,753,485256.46,98962.75,111.63019553715206,4.084198113207547,4240,0.06462264150943396,0.14952830188679245,-12.041037735849057,13.166037735849057,True,True
health_beauty,9670,8836,492,2444,1258681.34,182566.73,130.16353050672183,4.189919183326245,9404,0.073904721395151,0.1246278179498086,-12.012654189706508,11.471926839642705,True,True
home_appliances,771,764,48,370,80171.53,14818.9,103.98382619974059,4.226364846870839,751,0.045272969374167776,0.10652463382157124,-12.671105193075899,10.864181091877496,True,True
home_appliances_2,238,234,46,90,113317.74,10600.18,476.1249579831933,4.156521739130435,230,0.06086956521739131,0.12173913043478261,-12.360869565217392,13.41304347826087,True,True
home_comfort_2,30,24,4,5,760.27,410.31,25.342333333333332,3.6296296296296298,27,0.14814814814814814,0.25925925925925924,-7.925925925925926,14.407407407407407,True,True
home_confort,434,397,20,111,58572.04,8501.23,134.95861751152074,3.8524590163934427,427,0.0936768149882904,0.19672131147540983,-9.810304449648712,13.053864168618267,True,True
home_construction,604,490,68,225,83088.12,13832.24,137.56311258278146,3.95777027027027,592,0.05912162162162162,0.17398648648648649,-11.484797297297296,12.785472972972974,True,True
housewares,6964,5884,468,2335,632248.66,146149.11,90.78814761631247,4.106423919478981,6756,0.0489934872705743,0.14268798105387803,-12.336737714624038,10.44449378330373,True,True
industry_commerce_and_business,268,235,29,68,39669.61,7884.68,148.0209328358209,4.1226053639846745,261,0.05747126436781609,0.13026819923371646,-12.739463601532567,10.160919540229886,True,True
