purchase_month,orders,avg_review_score,late_delivery_rate
2016-09-01,1,1.0,1.0
2016-10-01,267,3.9700374531835205,0.00749063670411985
2016-12-01,1,5.0,0.0
2017-01-01,741,4.198380566801619,0.02834008097165992
2017-02-01,1643,4.203286670724284,0.02556299452221546
2017-03-01,2527,4.186782746339533,0.04471705579738821
2017-04-01,2290,4.1366812227074234,0.06419213973799126
2017-05-01,3517,4.235712254762582,0.028148990617003128
2017-06-01,3111,4.222436515589843,0.029572484731597556
2017-07-01,3842,4.258198854763144,0.02732951587714732
2017-08-01,4165,4.311884753901561,0.029051620648259304
2017-09-01,4118,4.267605633802817,0.04298203011170471
2017-10-01,4446,4.205128205128205,0.04026090868196131
2017-11-01,7237,3.9878402653033023,0.12256459859057621
2017-12-01,5461,4.088262223036074,0.07342977476652628
2018-01-01,7013,4.108512762013404,0.056466562098959075
2018-02-01,6508,3.880762138905962,0.14028887523048555
2018-03-01,6948,3.8124640184225678,0.18652849740932642
2018-04-01,6752,4.206901658767772,0.04398696682464455
2018-05-01,6722,4.236387979767926,0.06501041356739065
2018-06-01,6072,4.307312252964427,0.011693017127799736
2018-07-01,6118,4.317423994769532,0.032690421706440015
2018-08-01,6330,4.31042654028436,0.060821484992101105
