late_band,customers,avg_review_score,repeat_rate
0% late,89597,4.211914100441246,0.029934037970021317
1-33% late,26,3.899145299145299,1.0
34-66% late,259,3.079118028534371,1.0
67-100% late,6214,2.2612694229396584,0.00482780817508851
