segment,customers,revenue,avg_review_score,late_delivery_rate,revenue_share_pct
High-value & happy,19835,7740684.07,4.562604723215621,0.03387466439394849,48.352463633771606
High-value & unhappy,4194,1809356.02,1.1999085995867111,0.2615641392465427,11.30220796591634
Low-value & happy,62384,5560747.18,4.575611398405516,0.029414593485509104,34.73540883028804
Low-value & unhappy,9683,898084.85,1.227667045337189,0.2837963441082309,5.609919570024025
