delay_band,orders,avg_review_score,review_risk_rate
On or before estimate,89448,4.290135050532153,0.09272426437706824
1-3 days late,1852,3.291036717062635,0.3212742980561555
4-7 days late,1748,2.104691075514874,0.6762013729977117
8+ days late,2782,1.6962616822429906,0.7925952552120776
