product_category,total_items_sold,unique_orders,unique_sellers,unique_products,total_sales_value,total_freight_value,avg_item_price,avg_review_score,review_count,late_delivery_rate,review_risk_rate,avg_delivery_delay_days,avg_actual_delivery_days,has_reviews,has_delivery_data,quality_issue_rate,quality_issues,quality_eval_orders,has_quality_data
cds_dvds_musicals,14,12,1,1,730.0,224.99,52.142857142857146,4.642857142857143,14,0.0,0.0,-16.857142857142858,10.357142857142858,True,True,,,,False
christmas_supplies,153,128,17,65,8800.82,3229.3,57.52169934640523,4.06993006993007,143,0.0629370629370629,0.1328671328671328,-12.811188811188812,14.125874125874128,True,True,,,,False
cine_photo,72,65,14,28,6933.46,1256.2,96.29805555555556,4.285714285714286,70,0.0571428571428571,0.1285714285714285,-11.32857142857143,10.128571428571428,True,True,,,,False
computers,203,181,9,30,222963.13,9836.3,1098.3405418719212,4.219387755102041,196,0.0408163265306122,0.1173469387755102,-11.78061224489796,12.862244897959185,True,True,,,,False
computers_accessories,7827,6689,287,1639,911954.32,147318.08,116.51390315574294,3.987117128960168,7607,0.0636256079926383,0.1702379387406336,-12.457341921914027,12.741028000525832,True,True,2.1976379129914783,147.0,6689.0,True
consoles_games,1137,1062,82,317,157465.22,19828.02,138.49183817062445,4.139017608897127,1079,0.0556070435588507,0.1214087117701575,-11.732159406858202,13.114921223354958,True,True,2.2598870056497176,24.0,1062.0,True
construction_tools_construction,929,748,128,400,144677.59,20650.41,155.7347578040904,4.091108671789242,911,0.0614709110867178,0.1405049396267837,-11.6794731064764,10.220636663007683,True,True,2.941176470588235,22.0,748.0,True
construction_tools_lights,304,244,37,78,41080.0,7583.8,135.1315789473684,4.082191780821918,292,0.0753424657534246,0.136986301369863,-11.226027397260276,9.113013698630136,True,True,,,,False
construction_tools_safety,194,167,35,91,40544.52,3919.1,208.9923711340206,3.967032967032967,182,0.0274725274725274,0.1758241758241758,-12.307692307692308,11.395604395604396,True,True,,,,False
cool_stuff,3796,3632,267,789,635290.85,84039.1,167.357968914647,4.195445920303605,3689,0.0574681485497424,0.1184602873407427,-12.515315803740853,11.865004066142586,True,True,2.7257709251101323,99.0,3632.0,True
costruction_tools_garden,238,194,33,88,25715.89,5311.4,108.04995798319328,4.116379310344827,232,0.0560344827586206,0.1551724137931034,-13.54310344827586,11.43103448275862,True,True,,,,False
costruction_tools_tools,103,97,24,39,15903.95,2030.22,154.40728155339806,4.444444444444445,99,0.0505050505050505,0.0808080808080808,-12.474747474747474,11.282828282828282,True,True,,,,False
diapers_and_hygiene,39,27,8,12,1567.59,573.68,40.19461538461538,3.3783783783783785,37,0.0,0.2162162162162162,-11.35135135135135,10.243243243243244,True,True,,,,False
drinks,379,297,36,81,22428.7,5741.25,59.178627968337736,4.119113573407202,361,0.0443213296398892,0.1246537396121883,-11.529085872576175,10.01939058171745,True,True,,,,False
dvds_blu_ray,64,59,10,48,5999.39,1288.74,93.74046875,4.180327868852459,61,0.0655737704918032,0.1475409836065573,-13.36065573770492,12.508196721311476,True,True,,,,False
electronics,2767,2550,149,517,160246.74,46578.32,57.913530899891576,4.067158671586716,2710,0.0756457564575645,0.1483394833948339,-11.15461254612546,12.407011070110702,True,True,2.3529411764705883,60.0,2550.0,True
fashio_female_clothing,48,39,11,27,2803.64,621.75,58.40916666666666,3.933333333333333,45,0.0666666666666666,0.1333333333333333,-11.28888888888889,11.488888888888887,True,True,,,,False
fashion_bags_accessories,2031,1864,99,849,152823.54,31450.0,75.24546528803546,4.191295546558704,1976,0.0526315789473684,0.1138663967611336,-13.352226720647772,10.589574898785424,True,True,3.862660944206009,72.0,1864.0,True
fashion_childrens_clothes,8,8,4,5,569.85,95.51,71.23125,5.0,7,0.0,0.0,-15.714285714285714,8.142857142857142,True,True,,,,False
fashion_male_clothing,132,112,13,95,10797.82,2152.41,81.80166666666666,3.758064516129033,124,0.0483870967741935,0.25,-12.862903225806452,12.314516129032258,True,True,,,,False
fashion_shoes,262,240,15,173,23562.77,4918.87,89.93423664122137,4.280632411067193,253,0.0395256916996047,0.1106719367588932,-14.865612648221344,14.932806324110672,True,True,,,,False
fashion_sport,30,27,10,19,2119.51,578.13,70.65033333333334,4.344827586206897,29,0.0344827586206896,0.0689655172413793,-12.379310344827584,11.379310344827584,True,True,,,,False
fashion_underwear_beach,131,121,9,53,9541.55,1916.19,72.83625954198473,4.047619047619048,126,0.0952380952380952,0.1587301587301587,-10.952380952380953,13.22222222222222,True,True,,,,False
fixed_telephony,264,217,49,116,59583.0,4637.81,225.6931818181818,3.757936507936508,252,0.0357142857142857,0.2301587301587301,-14.698412698412698,12.123015873015872,True,True,,,,False
flowers,33,29,3,14,1110.04,488.87,33.63757575757575,4.419354838709677,31,0.032258064516129,0.064516129032258,-12.483870967741936,10.419354838709678,True,True,,,,False
food,510,450,58,82,29393.41,7271.03,57.63413725490196,4.262833675564682,487,0.0698151950718685,0.1170431211498973,-9.86447638603696,9.114989733059549,True,True,,,,False
food_drink,278,227,34,104,15179.48,4507.99,54.602446043165465,4.364312267657993,269,0.0408921933085501,0.0669144981412639,-11.613382899628252,10.449814126394052,True,True,,,,False
furniture_bedroom,109,95,23,45,20028.78,4632.23,183.75027522935775,4.252427184466019,103,0.0679611650485436,0.1262135922330097,-13.514563106796116,12.75728155339806,True,True,,,,False
furniture_decor,8334,6449,370,2657,729762.49,172749.3,87.56449364050876,3.951237623762376,8080,0.0691831683168316,0.181559405940594,-12.457920792079207,12.338366336633664,True,True,3.3958753295084505,219.0,6449.0,True
furniture_living_room,503,422,56,156,68916.56,17968.170000000002,137.0110536779324,3.934693877551021,490,0.0673469387755102,0.1714285714285714,-11.893877551020408,13.220408163265306,True,True,,,,False
furniture_mattress_and_upholstery,38,38,5,10,4368.08,1630.46,114.94947368421052,3.891891891891892,37,0.1351351351351351,0.1891891891891892,-7.162162162162162,13.891891891891891,True,True,,,,False
garden_tools,4347,3518,237,753,485256.46,98962.75,111.63019553715206,4.084198113207547,4240,0.0646226415094339,0.1495283018867924,-12.041037735849056,13.166037735849056,True,True,2.8140989198408186,99.0,3518.0,True
health_beauty,9670,8836,492,2444,1258681.34,182566.73,130.16353050672183,4.189919183326245,9404,0.073904721395151,0.1246278179498086,-12.012654189706508,11.471926839642704,True,True,1.641014033499321,145.0,8836.0,True
home_appliances,771,764,48,370,80171.53,14818.9,103.9838261997406,4.226364846870839,751,0.0452729693741677,0.1065246338215712,-12.6711051930759,10.864181091877496,True,True,2.486910994764398,19.0,764.0,True
home_appliances_2,238,234,46,90,113317.74,10600.18,476.1249579831933,4.156521739130435,230,0.0608695652173913,0.1217391304347826,-12.360869565217392,13.41304347826087,True,True,,,,False
home_comfort_2,30,24,4,5,760.27,410.31,25.34233333333333,3.6296296296296298,27,0.1481481481481481,0.2592592592592592,-7.925925925925926,14.407407407407408,True,True,,,,False
home_confort,434,397,20,111,58572.04,8501.23,134.95861751152074,3.8524590163934422,427,0.0936768149882904,0.1967213114754098,-9.810304449648712,13.053864168618269,True,True,,,,False
home_construction,604,490,68,225,83088.12,13832.24,137.56311258278146,3.95777027027027,592,0.0591216216216216,0.1739864864864864,-11.484797297297296,12.785472972972974,True,True,,,,False
housewares,6964,5884,468,2335,632248.66,146149.11,90.78814761631249,4.106423919478981,6756,0.0489934872705743,0.142687981053878,-12.336737714624038,10.44449378330373,True,True,3.059143439836846,180.0,5884.0,True
industry_commerce_and_business,268,235,29,68,39669.61,7884.68,148.0209328358209,4.1226053639846745,261,0.057471264367816,0.1302681992337164,-12.739463601532568,10.160919540229886,True,True,,,,False
kitchen_dining_laundry_garden_furniture,281,248,52,94,46328.37,11999.43,164.8696441281139,4.033088235294118,272,0.0441176470588235,0.1360294117647058,-12.415441176470589,11.485294117647058,True,True,,,,False
la_cuisine,14,13,2,10,2054.99,333.55,146.785,4.0,13,0.0,0.2307692307692307,-16.615384615384617,6.538461538461538,True,True,,,,False
luggage_accessories,1092,1034,73,349,140429.98,30445.23,128.5988827838828,4.352283317800559,1073,0.0410065237651444,0.086672879776328,-12.64771668219944,10.178937558247902,True,True,4.835589941972921,50.0,1034.0,True
market_place,311,280,59,104,28378.47,5456.06,91.2490996784566,4.072607260726072,303,0.0363036303630363,0.1287128712871287,-14.64026402640264,11.64026402640264,True,True,,,,False
music,38,38,19,27,6034.35,690.51,158.79868421052632,4.2105263157894735,38,0.0526315789473684,0.1052631578947368,-14.342105263157896,11.157894736842104,True,True,,,,False
musical_instruments,680,628,70,289,191498.88,18638.49,281.616,4.221705426356589,645,0.0744186046511627,0.1193798449612403,-11.465116279069768,12.506976744186046,True,True,3.343949044585987,21.0,628.0,True
office_furniture,1691,1273,34,309,273960.7,68571.95,162.0110585452395,3.512696493349456,1654,0.0792019347037484,0.2545344619105199,-11.859733978234583,20.363361547763,True,True,4.477611940298507,57.0,1273.0,True
party_supplies,43,39,12,26,4485.18,827.97,104.306511627907,3.8333333333333335,42,0.0,0.2142857142857142,-15.11904761904762,8.904761904761905,True,True,,,,False
pc_gamer,9,8,2,3,1545.95,133.57,171.77222222222224,3.625,8,0.0,0.25,-9.625,8.75,True,True,,,,False
perfumery,3419,3162,175,868,399124.87,54213.84,116.73731207955542,4.219453617532273,3331,0.064545181627139,0.1305914139897928,-12.434704293005105,11.262984088862204,True,True,1.1385199240986716,36.0,3162.0,True
pet_shop,1947,1710,137,719,214315.41,39561.24,110.0746841294299,4.216710182767624,1915,0.0485639686684073,0.1206266318537859,-12.565013054830288,10.728981723237595,True,True,3.0409356725146197,52.0,1710.0,True
portateis_cozinha_e_preparadores_de_alimentos,15,14,5,10,3968.53,309.76,264.5686666666667,3.4285714285714284,14,0.0714285714285714,0.2857142857142857,-9.5,7.785714285714286,True,True,,,,False
security_and_services,2,2,2,2,283.29,41.22,141.64499999999998,2.5,2,0.0,0.5,-17.0,15.0,True,True,,,,False
signaling_and_security,199,140,46,93,21509.23,6507.820000000001,108.08658291457286,4.091836734693878,196,0.0357142857142857,0.1173469387755102,-12.831632653061224,9.85204081632653,True,True,,,,False
small_appliances,679,630,105,231,190648.58,16020.25,280.7784683357879,4.223583460949464,653,0.0444104134762634,0.1225114854517611,-13.926493108728945,10.278713629402755,True,True,1.4285714285714286,9.0,630.0,True
small_appliances_home_oven_and_coffee,76,75,15,31,47445.71,2747.86,624.2856578947368,4.438356164383562,73,0.0547945205479452,0.0684931506849315,-11.58904109589041,9.397260273972602,True,True,,,,False
sports_leisure,8641,7720,481,2867,988048.97,168607.51,114.34428538363616,4.164955836715206,8378,0.0624253998567677,0.1304607304846025,-12.023513965146812,11.668417283361183,True,True,2.215025906735751,171.0,7720.0,True
stationery,2517,2311,173,849,230943.23,46798.48,91.75336909018674,4.246430028559772,2451,0.0673194614443084,0.1158710730314157,-12.036311709506323,12.26642186862505,True,True,2.6828212894850716,62.0,2311.0,True
tablets_printing_image,83,79,6,9,7528.41,1226.2,90.70373493975904,4.1234567901234565,81,0.0493827160493827,0.1358024691358024,-13.024691358024691,12.419753086419751,True,True,,,,False
telephony,4545,4199,149,1134,323667.53,71215.79,71.21397799779977,3.9943233424159854,4404,0.0690281562216167,0.1553133514986376,-11.389418710263396,12.381698455949136,True,True,3.000714455822815,126.0,4199.0,True
toys,4117,3886,252,1411,483946.6,77425.95,117.54836045664318,4.207301825456364,3999,0.0612653163290822,0.1220305076269067,-12.186296574143537,11.151787946986747,True,True,2.007205352547607,78.0,3886.0,True
watches_gifts,5991,5624,101,1329,1205005.68,100535.93,201.13598397596397,4.071391708240151,5813,0.0707035953896439,0.1482883192843626,-11.966798554963011,12.140891106141408,True,True,1.9559032716927456,110.0,5624.0,True
